name,foods,score,kind
超级下饭的地三鲜,长茄子、青椒、土豆、蚝油、生抽、盐、糖、老抽、淀粉、葱、蒜,8.0,家常菜
农家一碗香（下饭菜）,青红椒、鸡蛋、五花肉、生抽、老抽、蚝油、葱姜蒜、料酒,8.1,家常菜
土豆焖牛腩,牛腩、土豆、胡萝卜、葱、姜、蒜、八角、香叶、桂皮、陈皮、花椒、水、腐乳（王致和大块腐乳）、腐乳汁（王致和腐乳的汁）、红油郫县豆瓣、蚝油、生抽、料酒、糖、盐,9.3,家常菜
蚂蚁上树(肉末炒粉丝)超下饭‼️十分钟搞定,红薯粉丝、肉末(猪肉糜)、葱花、姜片、盐、料酒、酱油、豆瓣酱、糖、油,8.3,家常菜
和饭店一个味道的干锅花菜,花菜、肥五花、青红线椒、姜，大蒜、芹菜、料酒、盐、耗油、生抽,7.8,家常菜
浇汁煎鸡蛋,鸡蛋、油、淀粉、糖、盐、黑胡椒粉、酱油、(香)醋、蚝油、香油、optional：老抽、水,0,家常菜
酱汁杏鲍菇❗比肉还好吃,杏鲍菇、蒜、小葱,7.9,家常菜
家常小炒四季豆,四季豆、猪肉糜、二荆条、小米椒、大蒜、薄盐生抽、蚝油、盐,8.1,家常菜
糖醋排骨,仔排、冰糖①、料酒、生抽、冰糖②、白醋、老抽、八角、香叶、小香葱、生姜,8.2,家常菜
豆皮这样做，一锅米饭不够吃呀,干豆皮（千张）、青红椒,0,家常菜
牛肉的腌制方法好吃还嫩,牛里脊、牛后臀都可以、白胡椒粉、蚝油、生抽、油、玉米淀粉,8.9,家常菜
鲜虾冬瓜羹～(￣▽￣～)~夏日消暑减脂圣品,冬瓜、干贝、香菇、瘦肉、胡萝卜、鸡蛋、青豆（豌豆）、鲜虾、香菜、马蹄粉、盐、姜、拌肉调味料：、生抽、白糖、料酒、玉米淀粉、食用油,9.1,家常菜
蜜烤鸡翅,鸡翅中、蜂蜜、生抽、料酒、葱姜、五香粉、孜然粉、花椒粉,0,家常菜
